user_id,group,user_segment,impressions,clicks,orders,revenue,session_minutes
200000,control,new,6,0,0,0.0,5.89
200001,control,new,7,1,0,0.0,3.99
200002,treatment,returning,6,1,0,0.0,3.92
200003,control,new,8,1,0,0.0,2.87
200004,treatment,returning,5,0,0,0.0,6.03
200005,treatment,new,4,0,0,0.0,5.35
200006,control,new,6,0,0,0.0,13.39
200007,treatment,new,3,0,0,0.0,2.49
200008,control,new,10,0,0,0.0,5.76
200009,treatment,returning,2,0,0,0.0,8.4
200010,control,new,8,1,0,0.0,3.46
200011,treatment,returning,5,0,0,0.0,6.47
200012,treatment,returning,7,1,0,0.0,11.22
200013,control,new,3,1,0,0.0,9.24
200014,treatment,new,6,1,0,0.0,2.14
200015,treatment,returning,6,1,0,0.0,13.9
200016,control,new,3,0,0,0.0,8.93
200017,treatment,returning,3,0,0,0.0,10.99
200018,treatment,returning,9,0,0,0.0,9.07
200019,control,new,3,0,0,0.0,7.87
200020,control,new,8,0,0,0.0,9.49
200021,control,returning,5,0,0,0.0,5.27
200022,treatment,returning,5,1,0,0.0,7.34
200023,control,new,6,0,0,0.0,6.87
200024,control,new,4,0,0,0.0,1.8
200025,treatment,returning,3,0,0,0.0,1.85
200026,control,new,5,0,0,0.0,2.44
200027,treatment,returning,7,0,0,0.0,2.64
200028,treatment,returning,6,0,0,0.0,10.72
200029,treatment,returning,8,0,0,0.0,7.31
200030,treatment,returning,5,0,0,0.0,2.07
200031,control,returning,8,0,0,0.0,8.37
200032,treatment,vip,7,1,0,0.0,7.89
200033,treatment,returning,8,0,0,0.0,9.6
200034,control,new,10,0,0,0.0,4.45
200035,treatment,returning,9,0,0,0.0,2.52
200036,control,vip,6,0,0,0.0,8.77
200037,treatment,vip,7,2,1,41.82,6.98
200038,control,new,10,0,0,0.0,2.65
200039,treatment,new,2,0,0,0.0,17.09
200040,treatment,returning,3,0,0,0.0,3.9
200041,control,returning,8,1,0,0.0,7.41
200042,control,returning,5,1,1,39.9,9.16
200043,control,returning,3,0,0,0.0,4.3
200044,treatment,new,6,0,0,0.0,15.97
200045,treatment,returning,4,0,0,0.0,4.85
200046,treatment,returning,7,0,0,0.0,6.55
200047,treatment,new,7,0,0,0.0,4.08
200048,control,returning,8,1,0,0.0,7.38
200049,control,new,6,0,0,0.0,6.73
200050,treatment,returning,2,1,0,0.0,7.55
200051,treatment,vip,11,2,0,0.0,4.84
200052,control,returning,6,1,0,0.0,5.16
200053,treatment,new,4,0,0,0.0,1.96
200054,treatment,new,8,2,0,0.0,2.87
200055,control,new,8,1,0,0.0,1.49
200056,control,vip,18,1,0,0.0,10.08
200057,control,vip,17,0,0,0.0,11.95
200058,treatment,returning,5,0,0,0.0,3.36
200059,treatment,new,7,0,0,0.0,2.25
200060,control,new,5,0,0,0.0,3.79
200061,treatment,returning,9,1,0,0.0,23.68
200062,treatment,returning,5,1,0,0.0,17.19
200063,control,returning,5,0,0,0.0,3.4
200064,treatment,returning,9,0,0,0.0,10.72
200065,treatment,new,6,1,0,0.0,3.9
200066,treatment,new,12,1,0,0.0,4.24
200067,control,vip,13,1,0,0.0,16.87
200068,treatment,vip,13,2,0,0.0,4.84
200069,treatment,returning,8,1,0,0.0,2.37
200070,control,new,5,0,0,0.0,5.75
200071,control,returning,6,0,0,0.0,2.19
200072,control,returning,11,0,0,0.0,2.77
200073,treatment,returning,5,1,0,0.0,6.34
200074,control,new,7,1,0,0.0,2.15
200075,control,returning,7,1,0,0.0,4.33
200076,control,returning,4,0,0,0.0,16.88
200077,control,returning,7,1,0,0.0,10.33
200078,treatment,new,10,0,0,0.0,8.9
200079,control,new,3,1,0,0.0,9.74
200080,control,returning,12,1,0,0.0,4.87
200081,treatment,new,10,2,1,24.85,5.32
200082,control,new,6,1,1,74.25,8.27
200083,control,returning,5,0,0,0.0,4.73
200084,control,new,6,0,0,0.0,3.27
200085,control,returning,10,1,0,0.0,3.71
200086,control,returning,4,0,0,0.0,3.23
200087,control,new,6,0,0,0.0,7.32
200088,control,returning,11,0,0,0.0,12.79
200089,control,returning,4,0,0,0.0,3.86
200090,treatment,returning,6,0,0,0.0,9.11
200091,treatment,returning,4,1,0,0.0,2.66
200092,treatment,new,5,0,0,0.0,9.05
200093,control,vip,12,3,0,0.0,1.71
200094,control,returning,11,0,0,0.0,2.5
200095,treatment,returning,4,0,0,0.0,3.2
200096,treatment,returning,8,0,0,0.0,5.35
200097,treatment,new,8,0,0,0.0,5.34
200098,treatment,returning,11,1,0,0.0,8.34
200099,treatment,vip,13,3,1,30.49,20.75
200100,control,new,8,0,0,0.0,11.56
200101,control,new,5,0,0,0.0,11.93
200102,treatment,new,13,1,0,0.0,5.33
200103,treatment,returning,9,0,0,0.0,8.93
200104,treatment,returning,5,0,0,0.0,4.81
200105,control,returning,7,0,0,0.0,1.77
200106,control,returning,11,2,0,0.0,4.7
200107,treatment,new,7,0,0,0.0,0.26
200108,control,returning,9,0,0,0.0,4.04
200109,treatment,new,8,1,0,0.0,3.8
200110,control,new,6,0,0,0.0,2.16
200111,control,new,2,0,0,0.0,3.72
200112,control,new,6,0,0,0.0,3.71
200113,treatment,new,13,2,0,0.0,3.6
200114,control,returning,6,0,0,0.0,2.36
200115,control,returning,9,1,0,0.0,20.69
200116,treatment,new,4,0,0,0.0,11.32
200117,control,new,5,0,0,0.0,4.75
200118,treatment,returning,10,0,0,0.0,7.63
200119,treatment,new,5,0,0,0.0,8.23
200120,control,returning,6,0,0,0.0,2.41
200121,control,returning,4,0,0,0.0,3.82
200122,treatment,new,9,0,0,0.0,4.71
200123,treatment,returning,9,0,0,0.0,2.74
200124,treatment,returning,9,1,0,0.0,10.46
200125,treatment,new,5,0,0,0.0,18.95
200126,control,returning,4,0,0,0.0,5.44
200127,control,returning,9,1,0,0.0,2.99
200128,treatment,returning,9,0,0,0.0,7.74
200129,treatment,vip,8,1,0,0.0,13.08
200130,treatment,new,7,0,0,0.0,3.55
200131,treatment,returning,4,0,0,0.0,3.6
200132,control,returning,6,0,0,0.0,7.94
200133,control,new,11,0,0,0.0,2.17
200134,control,new,4,1,0,0.0,6.65
200135,treatment,returning,6,0,0,0.0,3.38
200136,control,returning,7,0,0,0.0,17.89
200137,control,new,2,1,0,0.0,2.99
200138,control,new,5,0,0,0.0,7.12
200139,treatment,returning,6,0,0,0.0,5.89
200140,control,new,6,0,0,0.0,13.56
200141,control,new,10,2,0,0.0,8.2
200142,control,returning,8,0,0,0.0,3.36
200143,control,returning,3,0,0,0.0,3.9
200144,treatment,new,3,0,0,0.0,8.19
200145,treatment,new,6,0,0,0.0,8.73
200146,control,returning,5,0,0,0.0,2.03
200147,treatment,new,9,0,0,0.0,3.09
200148,treatment,returning,9,1,0,0.0,10.88
200149,treatment,new,3,0,0,0.0,10.93
200150,treatment,new,7,1,0,0.0,13.93
200151,control,returning,4,0,0,0.0,8.13
200152,control,returning,7,1,0,0.0,8.14
200153,treatment,new,9,0,0,0.0,11.22
200154,treatment,vip,12,1,0,0.0,10.46
200155,control,returning,9,0,0,0.0,4.15
200156,control,new,8,1,0,0.0,9.78
200157,control,returning,10,2,1,28.17,12.1
200158,treatment,vip,5,1,0,0.0,3.83
200159,control,returning,8,0,0,0.0,3.03
200160,treatment,returning,5,0,0,0.0,11.12
200161,control,vip,17,3,0,0.0,4.02
200162,control,new,11,0,0,0.0,9.48
200163,control,new,8,0,0,0.0,4.42
200164,treatment,returning,9,0,0,0.0,5.55
200165,control,returning,1,0,0,0.0,10.43
200166,treatment,vip,15,1,0,0.0,6.61
200167,control,returning,11,1,0,0.0,3.69
200168,treatment,new,5,1,0,0.0,3.24
200169,control,returning,6,0,0,0.0,8.47
200170,treatment,new,5,2,0,0.0,4.11
200171,control,new,7,0,0,0.0,2.63
200172,control,returning,6,0,0,0.0,5.56
200173,treatment,returning,14,0,0,0.0,5.17
200174,control,returning,8,1,0,0.0,3.28
200175,treatment,new,11,3,0,0.0,6.65
200176,treatment,returning,7,0,0,0.0,13.82
200177,control,new,7,0,0,0.0,1.77
200178,treatment,new,6,0,0,0.0,1.76
200179,control,new,10,3,0,0.0,13.44
200180,control,new,5,0,0,0.0,3.08
200181,treatment,returning,6,1,0,0.0,6.58
200182,treatment,returning,4,0,0,0.0,5.81
200183,treatment,returning,9,0,0,0.0,1.4
