transaction_id,timestamp,user_id,amount,merchant_category,country,device_age_days,transactions_last_24h,account_age_days,is_weekend,is_night,chargeback_seen_after_txn,is_fraud
900000,2025-01-01 00:00:00,1469,99.12,marketplace,RU,71.5,2,869.6,0,1,0,0
900001,2025-01-01 00:37:00,1246,28.6,electronics,RU,74.3,3,70.0,0,1,0,0
900002,2025-01-01 01:14:00,1590,30.26,electronics,TR,90.7,4,21.5,0,1,0,0
900003,2025-01-01 01:51:00,1556,26.78,electronics,RU,54.0,2,79.9,0,1,0,0
900004,2025-01-01 02:28:00,1362,43.99,pharmacy,TR,104.7,2,281.7,0,1,0,0
900005,2025-01-01 03:05:00,1219,120.52,electronics,RU,178.3,1,48.5,0,1,0,0
900006,2025-01-01 03:42:00,1778,12.36,pharmacy,RU,25.1,5,165.2,0,1,0,0
900007,2025-01-01 04:19:00,1750,40.45,marketplace,RU,291.8,2,117.0,0,1,0,0
900008,2025-01-01 04:56:00,1295,7.68,travel,RU,113.2,2,54.8,0,1,0,0
900009,2025-01-01 05:33:00,1212,94.72,grocery,RU,256.6,2,52.1,0,1,0,0
900010,2025-01-01 06:10:00,1683,28.58,marketplace,TR,170.1,4,22.6,0,0,0,0
900011,2025-01-01 06:47:00,1581,8.2,travel,RU,51.2,3,146.6,0,0,0,0
900012,2025-01-01 07:24:00,1388,9.99,games,TR,71.7,4,204.6,0,0,0,0
900013,2025-01-01 08:01:00,1448,65.53,marketplace,AM,55.6,5,25.1,0,0,0,0
900014,2025-01-01 08:38:00,1616,7.04,marketplace,KZ,28.3,1,750.0,0,0,0,0
900015,2025-01-01 09:15:00,1179,40.47,marketplace,TR,289.6,3,244.3,0,0,0,0
900016,2025-01-01 09:52:00,1847,21.42,travel,RU,10.5,2,149.1,0,0,0,0
900017,2025-01-01 10:29:00,1472,26.44,pharmacy,AM,515.7,4,79.6,0,0,0,0
900018,2025-01-01 11:06:00,1107,17.18,travel,RU,460.2,1,1426.7,0,0,0,0
900019,2025-01-01 11:43:00,1811,13.36,games,RU,308.1,3,155.0,0,0,0,0
900020,2025-01-01 12:20:00,1847,20.31,travel,RU,14.1,5,191.8,0,0,0,0
900021,2025-01-01 12:57:00,1802,52.71,marketplace,TR,133.9,4,2234.3,0,0,0,0
900022,2025-01-01 13:34:00,1593,24.21,pharmacy,TR,19.1,2,351.2,0,0,0,0
900023,2025-01-01 14:11:00,1247,46.02,marketplace,RU,27.7,1,496.0,0,0,0,0
900024,2025-01-01 14:48:00,1450,25.33,electronics,RU,28.5,3,108.9,0,0,0,0
900025,2025-01-01 15:25:00,1456,54.6,marketplace,RU,163.9,3,361.6,0,0,0,0
900026,2025-01-01 16:02:00,1432,45.76,electronics,KZ,1.4,0,380.4,0,0,0,0
900027,2025-01-01 16:39:00,1128,19.36,games,RU,53.9,5,444.5,0,0,0,0
900028,2025-01-01 17:16:00,1264,13.35,electronics,RU,6.4,1,288.4,0,0,0,0
900029,2025-01-01 17:53:00,1398,74.45,pharmacy,RU,54.9,1,451.7,0,0,0,0
900030,2025-01-01 18:30:00,1449,15.15,pharmacy,TR,41.5,0,101.8,0,0,1,0
